price,address,bds,ba,sqft,image
"$949,500","137 Bryant Ave, Staten Island, NY 10306",3,2,"2,200",https://photos.zillowstatic.com/fp/9ededfc8350127e502ced18be7754b1e-p_e.jpg
"$799,000","6149 78th St, Flushing, NY 11379",2,2,"1,600",https://photos.zillowstatic.com/fp/5ab212f7f91d660919224a1f7ba19b6b-p_e.jpg
"$659,000","76-12, 97th Avenue, Ozone Park, NY 11416",3,3,"1,300",https://photos.zillowstatic.com/p_e/ISbdgu3js68iwf0000000000.jpg
"$899,800","6300 Austin St, Rego Park, NY 11374",3,3,"1,776",https://photos.zillowstatic.com/fp/b8c460d9f1345693eea88936216bd502-p_e.jpg
"$1,900,000","350 15th St, Brooklyn, NY 11215",4,2,"2,280","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,099,000","1946 W 3rd St, Brooklyn, NY 11223",5,3,"1,536","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$650,000","62 Cayuga Ave, Staten Island, NY 10301",4,2,"1,680","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$799,000","26 E 19th St #7A, Brooklyn, NY 11226",2,3,969,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$329,000","450 Saint Nicholas Ave APT 5C, New York, NY 10027",2,1,700,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$575,000","14220 Franklin Ave APT 2C, Flushing, NY 11355",2,1,710,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$599,000","106-08 227th St, Queens Village, NY 11429",5,2,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,074,000","4247 Bedford Ave, Brooklyn, NY 11229",5,3,"2,381","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$739,888","1724 Hendrickson St, Brooklyn, NY 11234",4,3,"2,246","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$995,000","5024 63rd St, Woodside, NY 11377",4,2,"2,280","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$760,000","1572 Rhinelander Ave, Bronx, NY 10461",4,4,"2,250","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$729,000","924 E 221st St, Bronx, NY 10469",5,3,"1,768","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$918,888","4554 196th Pl, Flushing, NY 11358",3,2,"1,350",N/A
"$780,000","71-01 Penelope Ave, Middle Village, NY 11379",3,2,"1,530","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$499,000","520 E 72nd St APT 10N, New York, NY 10021",1,1,650,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$1,275,000","162 Beach 129th St, Rockaway Park, NY 11694",4,3,"1,952","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$980,000","189 Garfield Ave, Staten Island, NY 10305",6,4,"2,200","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
